Week,SK_mag
6/11/2017,0
6/18/2017,1
6/25/2017,2
7/2/2017,0
7/9/2017,2
7/16/2017,0
7/23/2017,0
7/30/2017,0
8/6/2017,0
8/13/2017,0
8/20/2017,0
8/27/2017,2
9/3/2017,0
9/10/2017,0
9/17/2017,1
9/24/2017,0
10/1/2017,1
10/8/2017,1
10/15/2017,3
10/22/2017,1
10/29/2017,0
11/5/2017,2
11/12/2017,1
11/19/2017,1
11/26/2017,1
12/3/2017,1
12/10/2017,1
12/17/2017,2
12/24/2017,1
12/31/2017,1
1/7/2018,1
1/14/2018,2
1/21/2018,1
1/28/2018,8
2/4/2018,10
2/11/2018,5
2/18/2018,27
2/25/2018,68
3/4/2018,100
3/11/2018,45
3/18/2018,30
3/25/2018,20
4/1/2018,29
4/8/2018,16
4/15/2018,10
4/22/2018,8
4/29/2018,7
5/6/2018,6
5/13/2018,10
5/20/2018,9
5/27/2018,11
6/3/2018,8
6/10/2018,7
6/17/2018,6
6/24/2018,5
7/1/2018,3
7/8/2018,4
7/15/2018,5
7/22/2018,4
7/29/2018,3
8/5/2018,3
8/12/2018,5
8/19/2018,6
8/26/2018,5
9/2/2018,3
9/9/2018,4
9/16/2018,4
9/23/2018,3
9/30/2018,5
10/7/2018,4
10/14/2018,4
10/21/2018,3
10/28/2018,5
11/4/2018,5
11/11/2018,4
11/18/2018,4
11/25/2018,4
12/2/2018,3
12/9/2018,3
12/16/2018,5
12/23/2018,3
12/30/2018,3
1/6/2019,3
1/13/2019,4
1/20/2019,4
1/27/2019,2
2/3/2019,2
2/10/2019,3
2/17/2019,2
2/24/2019,1
3/3/2019,1
3/10/2019,1
3/17/2019,0
3/24/2019,0
3/31/2019,2
4/7/2019,3
4/14/2019,2
4/21/2019,1
4/28/2019,2
5/5/2019,2
5/12/2019,2
5/19/2019,2
5/26/2019,4
6/2/2019,4
6/9/2019,2
6/16/2019,2
6/23/2019,2
6/30/2019,0
7/7/2019,2
